Image,Object ID,Object type,Name,Classification,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: Trpc6 mean,Nucleus: Trpc6 sum,Nucleus: Trpc6 std dev,Nucleus: Trpc6 max,Nucleus: Trpc6 min,Nucleus: Trpc6 range,Nucleus: Dapi mean,Nucleus: Dapi sum,Nucleus: Dapi std dev,Nucleus: Dapi max,Nucleus: Dapi min,Nucleus: Dapi range,Nucleus: Th mean,Nucleus: Th sum,Nucleus: Th std dev,Nucleus: Th max,Nucleus: Th min,Nucleus: Th range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: Trpc6 mean,Cell: Trpc6 std dev,Cell: Trpc6 max,Cell: Trpc6 min,Cell: Dapi mean,Cell: Dapi std dev,Cell: Dapi max,Cell: Dapi min,Cell: Th mean,Cell: Th std dev,Cell: Th max,Cell: Th min,Cytoplasm: Trpc6 mean,Cytoplasm: Trpc6 std dev,Cytoplasm: Trpc6 max,Cytoplasm: Trpc6 min,Cytoplasm: Dapi mean,Cytoplasm: Dapi std dev,Cytoplasm: Dapi max,Cytoplasm: Dapi min,Cytoplasm: Th mean,Cytoplasm: Th std dev,Cytoplasm: Th max,Cytoplasm: Th min,Nucleus/Cell area ratio
9937_4.tif,d4953528-c32a-4441-bfd3-042df3d76eb6,Cell,,,VTA,Polygon,2116.4,587.81,16.3732,18.3912,0.6083,7.5345,3.5866,0.8516,4.6524,977,7.781,57,2,55,41.6429,8745,25.1025,125,2,123,3.6476,766,3.0685,21,2,19,96.2226,39.4701,0.7762,15.6225,8.9199,0.8017,5.3712,8.6392,73,2,19.3311,19.0324,125,2,3.5008,3.0371,30,2,5.5243,8.8072,73,2,14.5791,13.3049,89,2,3.4696,3.0311,30,2,0.1735
9937_4.tif,cc0ffc38-bb50-4888-b74b-eb0e7f5ff30e,Cell,,,VTA,Polygon,1671.9,592.85,57.911,32.0586,0.7081,10.6262,8.5969,0.5764,4.1233,2977,6.1619,44,2,42,211.2562,152527,54.5288,255,11,244,2.464,1779,1.9943,31,2,29,244.791,59.153,0.8791,20.5391,15.1792,0.6647,3.8894,6.1723,59,2,62.4557,89.2511,255,2,2.726,2.2698,31,2,3.8164,6.175,59,2,16.0479,21.4858,184,2,2.8078,2.3436,26,2,0.237
9937_4.tif,786fb248-1576-41e4-9e54-c9867cd5af33,Cell,,,VTA,Polygon,1773.3,590.16,29.4394,21.4571,0.8035,7.8407,5.8127,0.683,8.6585,3195,13.839,92,2,90,175.9783,64936,66.5583,255,12,243,2.897,1069,2.2018,16,2,14,139.5349,44.8459,0.8719,15.7286,12.8567,0.5166,5.4017,9.3198,92,2,53.1913,73.4904,255,2,3.0988,2.7804,42,2,4.5187,7.4124,81,2,19.9008,21.6281,154,2,3.1536,2.9158,42,2,0.2109
9937_4.tif,62664076-cc40-4cb4-a83d-0196c9b02fa9,Cell,,,VTA,Polygon,1945.7,591.68,60.3307,31.285,0.7746,10.1964,8.3418,0.4548,6.4733,4855,10.3654,94,2,92,142.808,107106,49.1896,255,22,233,3.348,2511,2.8195,26,2,24,234.0637,58.1797,0.869,19.9949,15.2313,0.5973,5.1406,8.204,94,2,53.0155,62.0593,255,2,3.3015,2.9486,36,2,4.6761,7.2475,61,2,21.7217,23.6785,159,2,3.2853,2.9927,36,2,0.2567
9937_4.tif,43738d3f-3bda-49b0-9adc-4880cbc6b7b4,Cell,,Th,VTA,Polygon,1857.1,593.19,13.1469,14.1894,0.8206,4.9374,3.9523,0.1298,4.1369,695,5.1724,35,2,33,187.6964,31533,59.0988,255,34,221,14.006,2353,24.1174,142,2,140,73.7196,32.8538,0.8583,12.1301,8.8529,0.6331,3.7347,4.3629,35,2,47.6703,73.7671,255,2,8.7882,19.064,204,2,3.6444,4.1581,27,2,16.2206,22.0111,172,2,7.6163,17.5397,204,2,0.1826
9937_4.tif,9d2c5eb1-29f6-41b8-bb45-0654a614df3f,Cell,,,VTA,Polygon,2129.8,591.91,33.9562,22.0696,0.8761,8.07,5.3013,0.7043,4.5293,1934,7.4299,52,2,50,221.0281,94379,52.5348,255,32,223,2.7635,1180,2.6114,38,2,36,97.9164,41.7229,0.7068,16.2353,7.668,0.8647,3.7034,6.5021,52,0,90.2638,103.265,255,0,2.7321,3.543,47,0,3.257,5.8978,41,0,19.5848,26.2442,167,0,2.7152,3.9578,47,0,0.3502
9937_4.tif,c7cd09da-1209-4a4f-9b8d-e267bdebe939,Cell,,,VTA,Polygon,2015.6,593.9,21.8578,20.3807,0.6613,8.3837,3.381,0.9234,4.8691,1339,7.7033,39,2,37,42.9709,11817,26.0021,120,2,118,5.1236,1409,8.9918,92,2,90,128.485,45.3563,0.7848,17.1679,10.3279,0.8129,5.0496,7.6393,51,2,22.0326,19.9848,120,2,3.5991,4.7222,92,2,5.0872,7.6283,51,2,17.6672,15.2192,86,2,3.2813,3.0915,56,2,0.1698
9937_4.tif,d5dfcade-16db-438b-b9d4-562e7ecd0409,Cell,,,VTA,Polygon,1784.6,592.38,25.2453,19.4634,0.8374,6.756,4.9876,0.6534,4.3146,1385,6.5248,39,2,37,48.7165,15638,27.2761,167,2,165,4.0125,1288,4.2145,31,2,29,125.3394,41.9111,0.8967,15.0181,11.3844,0.6126,5.6388,9.1095,88,2,29.8593,22.6641,167,2,5.0398,6.9418,87,2,5.983,9.6413,88,2,24.9579,18.3794,119,2,5.3069,7.4681,87,2,0.2022
9937_4.tif,6c39bea7-b575-4999-b58e-6a3808976ba7,Cell,,,VTA,Polygon,2122.3,591.83,15.4053,15.5831,0.7972,5.7914,3.301,0.8363,6.2188,1194,9.6534,66,2,64,77.276,14837,36.0114,193,12,181,4.0104,770,4,33,2,31,70.0094,36.4401,0.6625,15.1703,6.6003,0.8994,5.2963,9.0505,81,2,33.0183,34.2261,193,2,3.2254,3.1602,33,2,5.0367,8.8635,81,2,20.5587,20.7428,161,2,3.0044,2.8447,30,2,0.2175
9937_4.tif,242d62f9-0c72-4491-a727-2788d67d8f66,Cell,,,VTA,Polygon,2048.5,594.03,50.41,28.2375,0.7945,9.5607,7.6702,0.5112,4.1847,2628,6.659,56,2,54,189.7006,119132,63.3184,255,33,222,3.0573,1920,2.4469,23,2,21,230.1922,56.6683,0.9008,19.5028,15.1872,0.6453,4.6004,7.3782,88,2,56.4102,78.938,255,2,3.7275,5.6766,121,2,4.7176,7.566,88,2,18.8231,20.8376,156,2,3.9165,6.2822,121,2,0.2199
