Group,mouse_ID,slice,Metric,Label,Value
sgTrpc6,9937,4,Count,Th,312.0
sgTrpc6,9937,4,Count,Trpc6,48.0
sgTrpc6,9937,4,Count,Th:Trpc6,228.0
sgTrpc6,9937,4,Mean_all,Th,49.57943111111111
sgTrpc6,9937,4,Mean_all,Trpc6,20.853607246376814
sgTrpc6,9937,4,Mean_Th_pos,Th,49.57943111111111
sgTrpc6,9937,4,Mean_Th_pos,Trpc6,22.38287850877193
sgTrpc6,9937,4,Mean_Th_neg,Th,
sgTrpc6,9937,4,Mean_Th_neg,Trpc6,13.589568749999998
ssgTrpc6,121,1,Count,Th,619.0
ssgTrpc6,121,1,Count,Trpc6,166.0
ssgTrpc6,121,1,Count,Th:Trpc6,951.0
ssgTrpc6,121,1,Mean_all,Th,64.07730496815286
ssgTrpc6,121,1,Mean_all,Trpc6,20.513982273948077
ssgTrpc6,121,1,Mean_Th_pos,Th,64.07730496815286
ssgTrpc6,121,1,Mean_Th_pos,Trpc6,21.932675604626713
ssgTrpc6,121,1,Mean_Th_neg,Th,
ssgTrpc6,121,1,Mean_Th_neg,Trpc6,12.386407831325302
ssgTrpc6,121,2,Count,Th,616.0
ssgTrpc6,121,2,Count,Trpc6,147.0
ssgTrpc6,121,2,Count,Th:Trpc6,945.0
ssgTrpc6,121,2,Mean_all,Th,55.1880005765535
ssgTrpc6,121,2,Mean_all,Trpc6,21.173338736263737
ssgTrpc6,121,2,Mean_Th_pos,Th,55.1880005765535
ssgTrpc6,121,2,Mean_Th_pos,Trpc6,21.848318518518518
ssgTrpc6,121,2,Mean_Th_neg,Th,
ssgTrpc6,121,2,Mean_Th_neg,Trpc6,16.83418299319728
ssgTrpc6,121,3,Count,Th,570.0
ssgTrpc6,121,3,Count,Trpc6,75.0
ssgTrpc6,121,3,Count,Th:Trpc6,691.0
ssgTrpc6,121,3,Mean_all,Th,44.56946907216495
ssgTrpc6,121,3,Mean_all,Trpc6,19.087039295039165
ssgTrpc6,121,3,Mean_Th_pos,Th,44.56946907216495
ssgTrpc6,121,3,Mean_Th_pos,Trpc6,19.69990738060781
