Image,Object ID,Object type,Name,Classification,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: Th mean,Nucleus: Th sum,Nucleus: Th std dev,Nucleus: Th max,Nucleus: Th min,Nucleus: Th range,Nucleus: Trpc6 mean,Nucleus: Trpc6 sum,Nucleus: Trpc6 std dev,Nucleus: Trpc6 max,Nucleus: Trpc6 min,Nucleus: Trpc6 range,Nucleus: Dapi mean,Nucleus: Dapi sum,Nucleus: Dapi std dev,Nucleus: Dapi max,Nucleus: Dapi min,Nucleus: Dapi range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: Th mean,Cell: Th std dev,Cell: Th max,Cell: Th min,Cell: Trpc6 mean,Cell: Trpc6 std dev,Cell: Trpc6 max,Cell: Trpc6 min,Cell: Dapi mean,Cell: Dapi std dev,Cell: Dapi max,Cell: Dapi min,Cytoplasm: Th mean,Cytoplasm: Th std dev,Cytoplasm: Th max,Cytoplasm: Th min,Cytoplasm: Trpc6 mean,Cytoplasm: Trpc6 std dev,Cytoplasm: Trpc6 max,Cytoplasm: Trpc6 min,Cytoplasm: Dapi mean,Cytoplasm: Dapi std dev,Cytoplasm: Dapi max,Cytoplasm: Dapi min,Nucleus/Cell area ratio
123_3.tif,c55c4890-c444-414f-8dee-617115f77951,Cell,,,VTA,Polygon,2334.2,393.89,64.1215,31.6725,0.8032,10.2714,9.1141,0.2188,2.3784,1898,2.2245,31,1,30,2.297,1833,6.4643,55,1,54,95.9612,76577,57.5583,255,2,253,293.6685,61.5837,0.9731,20.279,18.8957,0.2945,2.4247,2.1187,40,1,2.5503,7.1996,70,1,30.2808,46.5254,255,2,2.4377,2.0883,40,1,2.6214,7.3924,70,1,11.8385,17.0665,171,2,0.2194
123_3.tif,3d1db33b-778f-4148-9e71-b6a0d653e222,Cell,,,VTA,Polygon,2180,391.77,17.9863,15.6194,0.9264,5.5803,4.5275,0.5272,2.8578,643,3.4457,36,1,35,3.72,837,10.0141,65,1,64,95.7644,21547,66.5102,255,2,253,143.3257,44.1918,0.9223,15.5598,11.6164,0.6624,3.0928,3.416,48,1,3.7953,9.8607,68,1,20.5051,39.0901,255,2,3.1269,3.4114,48,1,3.8062,9.8415,68,1,9.6014,13.0769,96,2,0.124
123_3.tif,9a28684e-135b-4fbf-94c1-b9b445e1aaa7,Cell,,Th,VTA,Polygon,2016.9,392.63,23.4709,19.2744,0.7939,6.4255,5.4869,0.3977,17.547,5229,21.4094,205,1,204,5.802,1729,13.1816,104,1,103,82.9933,24732,42.4753,228,2,226,97.5938,37.3917,0.8772,12.5821,10.6128,0.2712,29.7081,45.7001,255,1,5.2229,12.3577,104,1,43.6036,39.4305,228,2,33.6558,50.5479,255,1,5.0349,12.0797,100,1,30.817,28.4219,188,2,0.2399
123_3.tif,fc7918af-48bf-41f6-8661-357395e6636f,Cell,,,VTA,Polygon,2280.6,394.64,57.5884,32.3818,0.6901,10.3998,8.7588,0.3658,2.454,1762,2.2839,29,1,28,2.3649,1698,6.5735,60,1,59,33.6407,24154,27.2908,150,2,148,288.7485,61.642,0.9549,20.3865,18.7028,0.1946,2.4296,2.272,50,1,2.6196,7.4756,91,1,15.4045,19.8709,150,2,2.4235,2.2694,50,1,2.6834,7.685,91,1,10.8295,14.2442,101,2,0.2007
123_3.tif,ea76a292-06a6-454d-8c97-fdbea58dabe4,Cell,,,VTA,Polygon,1948.3,396.27,38.6342,25.4749,0.7481,9.1541,6.3457,0.7412,2.5405,1222,2.0491,21,1,20,2.5135,1209,7.5186,98,1,97,98.0894,47181,52.9972,255,2,253,151.0687,49.071,0.7884,17.4942,14.2303,0.5076,2.7801,3.2796,42,1,3.1677,8.955,98,1,38.2465,47.6911,255,2,2.8626,3.6043,42,1,3.393,9.3908,81,1,17.6421,20.8233,182,2,0.2539
123_3.tif,1c199f74-9f45-4aaa-8f42-c848aa8a759f,Cell,,,VTA,Polygon,2254.9,395.42,51.3779,27.6406,0.8451,8.9587,8.0819,0.3335,2.468,1582,2.416,32,1,31,3.4696,2224,10.8446,108,1,107,71.2075,45644,39.9178,216,2,214,198.0911,53.0569,0.8843,18.4669,15.4291,0.5433,2.5614,2.4129,33,1,3.0724,8.9327,108,1,28.3975,35.5975,216,2,2.5944,2.4117,33,1,2.9323,8.1508,101,1,13.295,16.6673,122,2,0.2589
123_3.tif,8d6607ff-22b2-49fb-b04f-8e79fd8100d1,Cell,,,VTA,Polygon,1903.9,395.92,41.2152,26.7473,0.7239,9.9685,6.414,0.7278,2.7669,1436,2.8136,33,1,32,8.815,4575,23.78,228,1,227,126.7842,65801,62.3069,255,3,252,145.1808,48.1246,0.7877,17.7586,12.8381,0.6473,2.9362,4.2135,72,1,5.0549,15.1464,228,1,58.1643,62.3642,255,2,3.0047,4.6611,72,1,3.5339,9.2606,83,1,30.4061,34.8977,255,2,0.2845
123_3.tif,f9685c5e-008c-4c5c-b739-55783f86042f,Cell,,,VTA,Polygon,2034.2,396.07,12.1791,18.2169,0.4612,6.468,3.442,0.901,3.3734,533,3.7781,28,1,27,5.1139,808,11.4558,65,1,64,33.8797,5353,24.0027,110,2,108,71.6225,36.1146,0.6901,13.2356,8.5276,0.8072,2.9283,3.0652,28,1,4.5112,10.9547,78,1,23.8744,22.3599,122,2,2.8324,2.883,28,1,4.3815,10.8475,78,1,21.7207,21.4035,122,2,0.1747
123_3.tif,1288fffd-78c7-4b11-ad16-d11158cdd237,Cell,,,VTA,Polygon,2057.2,396.57,24.842,20.6094,0.735,7.0866,5.1973,0.7543,3.3065,1025,3.7295,25,1,24,3.3194,1029,8.2319,49,1,48,173.2129,53696,65.1888,255,25,230,58.8789,30.343,0.8036,12.0625,6.9706,0.8321,3.5204,3.9728,34,1,2.9905,8.2372,99,1,100.451,82.7677,255,2,3.6769,4.1391,34,1,2.75,8.2424,99,1,47.2524,45.2754,211,2,0.4212
123_3.tif,dd552bdc-5e3a-4e82-a9ff-1fd442a0c03a,Cell,,,VTA,Polygon,2041.9,396.24,36.8598,24.4126,0.7772,7.7605,7.1574,0.3239,3.2134,1491,3.6428,39,1,38,4.3405,2014,11.5915,88,1,87,84.2629,39098,45.3183,247,2,245,118.8869,43.9552,0.7733,17.3429,9.0697,0.8718,2.9905,3.3028,39,1,3.7768,10.3024,88,1,45.9898,43.1443,247,2,2.8881,3.1308,34,1,3.5178,9.6478,71,1,28.4069,28.1415,147,2,0.3139
